N° Etudiant;MIN31100 Principe des syst. d'exp.;MIN31200 Services réseaux;MIN31300 Algo. Avancée;MIN31400 Prog. Web;MIN31500 COO/POO avancées;MIN31600 BD avancées;MIN32100 Proba. et Stats.;MIN32200 Modél. maths;MIN32300 Droit des TIC;MIN32400 Gestion des SI;MIN32500 Expression com. ;MIN32600 Anglais ;MIN33100 Méthodo. Prod. d'appli;MIN33200 Projet tutoré;MIN33300 PPP;MIN3MSPO Sport;Décision
21322095;6,15;6,40;14,00;13,308;11,58;10,95;12,00;14,25;9,50;11,85;10,88;8,33;11,93;12,30;13,00;;VAL
21323725;5,82;4,40;4,00;6,154;5,41;7,16;8,00;5,75;9,00;10,15;10,38;13,40;11,71;12,30;14,00;;AJ
21322078;8,33;10,90;7,50;9,385;7,95;8,50;6,00;12,70;8,50;11,07;8,38;9,33;9,50;11,67;13,00;;VPC
21321075;10,37;8,60;6,50;10,436;14,72;11,11;16,25;9,40;8,00;13,98;13,69;16,33;11,50;10,50;12,50;;VAL
21322103;16,10;10,00;14,50;15,692;13,02;12,75;11,00;17,75;12,00;13,84;11,50;10,27;12,57;12,67;12,50;;VAL
21327264;9,49;9,40;10,00;9,897;7,22;9,95;8,50;11,50;12,00;12,88;15,44;15,87;10,86;13,03;16,50;;VAL
21222318;8,00;5,90;4,00;4,333;1,75;4,60;7,50;13,70;10,00;8,54;11,25;11,07;6,50;8,00;6,50;14,5;ABD
21222351;8,09;11,30;8,50;11,577;8,96;6,80;11,25;14,00;7,50;11,73;11,50;10,67;10,21;13,03;14,00;;VAL
21320010;10,65;11,90;6,50;12,769;10,31;10,20;11,75;11,25;14,50;12,33;12,13;14,27;11,57;16,17;11,00;16;VAL
21320172;9,59;7,40;18,00;11,692;15,17;8,83;9,00;15,00;4,50;9,48;12,94;14,80;10,00;11,67;6,00;;VAL

